,Name,Platform,Year,Genre,Publisher,Na Sales,Eu Sales,Jp Sales,Other Sales,Global Sales,Console Type,Console Manufacturer,Console Released,Console Discontinued,Consoles Sold
11080,Knife Edge: NoseGunner,Nintendo 64,1998,Shooter,Mitsui,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,1996,2002,32930000.0
11081,Puzzle Chronicles,PlayStation Portable,2010,Puzzle,Konami Digital Entertainment,70000.0,0.0,0.0,10000.0,0.08,Handheld,Sony,2004,2014,82000000.0
11082,Wetrix,Nintendo 64,1998,Puzzle,Ocean,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,1996,2002,32930000.0
11083,NHL Breakaway 99,Nintendo 64,1998,Sports,Acclaim Entertainment,70000.0,10000.0,0.0,0.0,0.08,Home,Nintendo,1996,2002,32930000.0
11084,Tony Hawk's Pro Skater 3,Nintendo 64,2002,Sports,Activision,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,1996,2002,32930000.0
11085,Iggy's Reckin' Balls,Nintendo 64,1998,Racing,Acclaim Entertainment,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,1996,2002,32930000.0
11086,The Witch and the Hundred Knight,PlayStation 4,2015,Role-Playing,Nippon Ichi Software,20000.0,10000.0,50000.0,10000.0,0.08,Home,Sony,2013,0,117200000.0
11087,Samurai Western,PlayStation 2,2004,Action,505 Games,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,2000,2013,155000000.0
11088,Line Rider 2: Unbound,Nintendo DS,2008,Puzzle,Deep Silver,70000.0,0.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11089,Earth Defense Force 2017,Xbox 360,2006,Action,D3Publisher,40000.0,10000.0,30000.0,0.0,0.08,Home,Microsoft,2005,2016,84000000.0
11090,Persona 4: Arena Ultimax,Xbox 360,2014,Fighting,Atlus,60000.0,10000.0,0.0,10000.0,0.08,Home,Microsoft,2005,2016,84000000.0
11091,Harry Potter and the Sorcerer's Stone,GameCube,2003,Action,Electronic Arts,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
11092,High Heat Major League Baseball 2004,Xbox,2003,Sports,3DO,60000.0,20000.0,0.0,0.0,0.08,Home,Microsoft,2001,2009,24000000.0
11093,TimeSplitters: Future Perfect,GameCube,2005,Shooter,Electronic Arts,60000.0,20000.0,0.0,0.0,0.08,Home,Nintendo,2001,2007,21740000.0
11094,Ultimate Shooting Collection,Wii,2008,Shooter,Milestone,80000.0,0.0,0.0,0.0,0.08,Home,Nintendo,2006,2013,101630000.0
11095,Kenshuui Tendo Dokuta,Nintendo DS,2004,Simulation,Spike,0.0,0.0,80000.0,0.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11096,Super Sentai Battle: Ranger Cross,Wii,2011,Action,Namco Bandai Games,0.0,0.0,80000.0,0.0,0.08,Home,Nintendo,2006,2013,101630000.0
11097,Soul Bubbles,Nintendo DS,2008,Puzzle,Eidos Interactive,50000.0,20000.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
11098,Gradius III and IV,PlayStation 2,2000,Shooter,Konami Digital Entertainment,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,2000,2013,155000000.0
11099,Pilot ni Narou! 2,PlayStation 2,2001,Simulation,Victor Interactive,0.0,0.0,80000.0,0.0,0.08,Home,Sony,2000,2013,155000000.0
11100,AKB1/149: Love Election,PlayStation 3,2013,Adventure,Namco Bandai Games,0.0,0.0,80000.0,0.0,0.08,Home,Sony,2006,2017,87400000.0
11101,Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,PlayStation Portable,2011,Strategy,Acquire,0.0,0.0,80000.0,0.0,0.08,Handheld,Sony,2004,2014,82000000.0
11102,Man vs. Wild,PlayStation 3,2010,Action,Abylight,70000.0,0.0,0.0,10000.0,0.08,Home,Sony,2006,2017,87400000.0
11103,Incredible Crisis,PlayStation,1999,Action,Titus,40000.0,30000.0,0.0,10000.0,0.08,Home,Sony,1994,2006,102490000.0
11104,Midway Arcade Treasures 3,Xbox,2005,Misc,Midway Games,60000.0,20000.0,0.0,0.0,0.08,Home,Microsoft,2001,2009,24000000.0
11105,Witches & Vampires: The Secrets of Ashburry,Nintendo DS,2010,Adventure,DTP Entertainment,50000.0,20000.0,0.0,10000.0,0.08,Handheld,Nintendo,2004,2013,154020000.0
